"Main","Middle","Sub","Address","Central","Unfiltered","Description","DatapointType","Security"
 , ,"Slaapkamer - Raam 1","3/1/7","","","","DPST-1-1","Auto"
 , ,"Slaapkamer - Raam 2","3/1/8","","","","DPST-1-1","Auto"
 , ,"Slaapkamer - Raam 3","3/1/9","","","","DPST-1-1","Auto"
 ,"Rolgordijnen positie", ,"3/2/-","","","","","Auto"
 , ,"Raam 1","3/2/0","","","","DPST-5-1","Auto"
 , ,"Raam 2","3/2/1","","","","DPST-5-1","Auto"
 , ,"Raam 3","3/2/2","","","","DPST-5-1","Auto"
 , ,"Haard","3/2/3","","","","DPST-5-1","Auto"
 , ,"Eettafel","3/2/4","","","","DPST-5-1","Auto"
 , ,"Schuifraam links","3/2/5","","","","DPST-5-1","Auto"
 , ,"Schuifraam rechts","3/2/6","","","","DPST-5-1","Auto"
 , ,"Slaapkamer - Raam 1","3/2/7","","","","DPST-5-1","Auto"
 , ,"Slaapkamer - Raam 2","3/2/8","","","","DPST-5-1","Auto"
 , ,"Slaapkamer - Raam 3","3/2/9","","","","DPST-5-1","Auto"
 ,"Rolgordijnen status upper", ,"3/3/-","","","","","Auto"
 , ,"Raam 1","3/3/0","","","","DPST-1-9","Auto"
 , ,"Raam 2","3/3/1","","","","DPST-1-9","Auto"
 , ,"Raam 3","3/3/2","","","","DPST-1-9","Auto"
 , ,"Haard","3/3/3","","","","DPST-1-9","Auto"
 , ,"Eettafel","3/3/4","","","","DPST-1-9","Auto"
 , ,"Schuifraam links","3/3/5","","","","DPST-1-9","Auto"
 , ,"Schuifraam rechts","3/3/6","","","","DPST-1-9","Auto"
 , ,"Slaapkamer - Raam 1","3/3/7","","","","DPST-1-9","Auto"
 , ,"Slaapkamer - Raam 2","3/3/8","","","","DPST-1-9","Auto"
 , ,"Slaapkamer - Raam 3","3/3/9","","","","DPST-1-9","Auto"
 ,"Rolgordijnen status lower", ,"3/4/-","","","","","Auto"
 , ,"Raam 1","3/4/0","","","","DPST-1-9","Auto"
 , ,"Raam 2","3/4/1","","","","DPST-1-9","Auto"
 , ,"Raam 3","3/4/2","","","","DPST-1-9","Auto"
 , ,"Haard","3/4/3","","","","DPST-1-9","Auto"
 , ,"Eettafel","3/4/4","","","","DPST-1-9","Auto"
 , ,"Schuifraam links","3/4/5","","","","DPST-1-9","Auto"
 , ,"Schuifraam rechts","3/4/6","","","","DPST-1-9","Auto"
 , ,"Slaapkamer - Raam 1","3/4/7","","","","DPST-1-9","Auto"
 , ,"Slaapkamer - Raam 2","3/4/8","","","","DPST-1-9","Auto"
 , ,"Slaapkamer - Raam 3","3/4/9","","","","DPST-1-9","Auto"
"Verwarming", , ,"4/-/-","","","","","Auto"
 ,"Ventiel %", ,"4/0/-","","","","","Auto"
 , ,"Living (W103)","4/0/0","","","","DPST-5-1","Auto"
 , ,"Badkamer (W104)","4/0/1","","","","DPST-5-1","Auto"
 , ,"Slaapkamer 1 (W105)","4/0/2","","","","DPST-5-1","Auto"
 , ,"Slaapkamer 2 (W106)","4/0/3","","","","DPST-5-1","Auto"
 , ,"Slaapkamer 3 (W107)","4/0/4","","","","DPST-5-1","Auto"
 , ,"Bureau (W108)","4/0/5","","","","DPST-5-1","Auto"
 ,"Regime", ,"4/1/-","","","","","Auto"
 , ,"Living","4/1/0","","","","DPT-5","Auto"
 , ,"Badkamer","4/1/1","","","","DPT-5","Auto"
 , ,"Slaapkamer 1","4/1/2","","","","DPT-5","Auto"
 , ,"Slaapkamer 2","4/1/3","","","","DPT-5","Auto"
 , ,"Slaapkamer 3","4/1/4","","","","DPT-5","Auto"
 , ,"Bureau","4/1/5","","","","DPT-5","Auto"
 ,"Actuele temperatuur", ,"4/2/-","","","","","Auto"
 , ,"Living","4/2/0","","","","DPST-9-1","Auto"
 , ,"Badkamer","4/2/1","","","","DPST-9-1","Auto"
 , ,"Slaapkamer 1","4/2/2","","","","DPST-9-1","Auto"
 , ,"Slaapkamer 2","4/2/3","","","","DPST-9-1","Auto"
 , ,"Slaapkamer 3","4/2/4","","","","DPST-9-1","Auto"
 , ,"Bureau","4/2/5","","","","DPST-9-1","Auto"
 ,"Gevraagde temperatuur", ,"4/3/-","","","","","Auto"
 , ,"Living","4/3/0","","","","DPST-9-1","Auto"
 , ,"Badkamer","4/3/1","","","","DPST-9-1","Auto"
 , ,"Slaapkamer 1","4/3/2","","","","DPST-9-1","Auto"
 , ,"Slaapkamer 2","4/3/3","","","","DPST-9-1","Auto"
 , ,"Slaapkamer 3","4/3/4","","","","DPST-9-1","Auto"
 , ,"Bureau","4/3/5","","","","DPST-9-1","Auto"
 ,"Basis temperatuur", ,"4/4/-","","","","","Auto"
 , ,"Living","4/4/0","","","","DPST-9-1","Auto"
 , ,"Badkamer","4/4/1","","","","DPST-9-1","Auto"
